region,year,relative_mean_coverage_percent,absolute_mean_coverage_percent,relative_mean_ice_area_km2,absolute_mean_ice_area_km2
Hudson Bay Area,2003,50.742121639039595,61.45295404814005,724660.9246575342,877625.0
Hudson Bay Area,2004,56.01303774916,66.69380971170978,799936.1953551912,952470.9699453552
Hudson Bay Area,2005,50.00324786427266,60.9250322232547,714108.8835616439,870085.6164383561
Hudson Bay Area,2006,47.119371721471175,57.21267348101077,672923.5273972603,817068.493150685
Hudson Bay Area,2007,51.015110098618145,61.92775995923384,728559.5410958905,884405.8219178083
Hudson Bay Area,2008,52.9691449342947,61.99901950233765,756465.6010928962,885423.4972677595
Hudson Bay Area,2009,53.06519684661731,62.507119091154344,757837.3424657534,892679.794520548
Hudson Bay Area,2010,45.17646737208117,55.57507268966757,645176.4246575342,793681.506849315
Hudson Bay Area,2011,46.98708599862114,57.75630226911663,671034.3219178083,824832.1917808219
Hudson Bay Area,2012,50.65585153830517,60.61496335091055,723428.8797814208,865657.4453551912
Hudson Bay Area,2013,53.7125126944636,62.66095141032943,767081.8219178083,894876.7123287672
Hudson Bay Area,2014,53.683412847336704,63.36416774077516,766666.2397260274,904919.5205479452
Hudson Bay Area,2015,52.84798081592279,63.28167620874674,754735.2260273972,903741.4383561644
Hudson Bay Area,2016,50.35139123052456,59.62669345099306,719080.8060109289,851543.7158469945
Hudson Bay Area,2017,50.225545277419734,60.76280687029766,717283.5684931506,867768.8356164383
Hudson Bay Area,2018,55.32973615898804,65.17010880968796,790177.794520548,930710.6164383561
Hudson Bay Area,2019,51.0772981625251,60.110788045921886,729447.6643835617,858457.1917808219
Hudson Bay Area,2020,51.1977022874293,61.43941839748418,731167.1857923497,877431.6939890711
Hudson Bay Area,2021,47.63192374329307,57.83040076736309,680243.4109589041,825890.4109589041
Hudson Bay Area,2022,49.78282521507149,60.17925122148617,710960.9726027397,859434.9315068494
Hudson Bay Area,2023,47.48375360450826,56.327568118461684,678127.3561643836,804428.0821917808
Hudson Bay Area,2024,44.705128959357175,53.929284595425145,638445.1229508197,770177.5956284154
Hudson Bay Area,2025,44.018493810137585,54.07913431851563,628639.1147260274,772317.6369863014
Hudson Strait,1979,50.152792274870876,63.921850437907025,95603.7602739726,121851.02739726027
Hudson Strait,1980,46.302699991041834,60.643196273403206,88264.5218579235,115601.09289617486
Hudson Strait,1981,44.09392499438581,59.34426229508197,84054.04452054795,113125.0
Hudson Strait,1982,51.10863148439254,65.17763305636649,97425.82876712328,124244.86301369863
Hudson Strait,1983,56.618816977318666,70.12530878059735,107929.6198630137,133676.3698630137
Hudson Strait,1984,56.43377765833557,68.92054107318822,107576.88866120219,131379.78142076504
Hudson Strait,1985,50.699138558275315,62.31394565461487,96645.23287671233,118785.95890410959
Hudson Strait,1986,50.85551134066921,66.29508196721312,96943.31849315068,126375.0
Hudson Strait,1988,49.156481744538716,60.98373453116802,93704.54332552693,116250.24395003903
Hudson Strait,1989,48.93423399955086,61.95553559398159,93280.88356164383,118102.7397260274
Hudson Strait,1990,52.281611497866606,66.03907478104648,99661.82191780822,125886.98630136986
Hudson Strait,1991,50.162288794071415,62.169324051201436,95621.86301369863,118510.27397260274
Hudson Strait,1992,55.404009674818596,68.87485442981277,105613.89344262295,131292.6912568306
Hudson Strait,1993,52.12171569728273,63.82393891758365,99357.02054794521,121664.38356164383
Hudson Strait,1994,49.031674825960025,61.41298001347406,93466.6301369863,117068.49315068492
Hudson Strait,1995,44.265791152032335,57.33303390972378,84381.66438356164,109291.09589041096
Hudson Strait,1996,46.65848607005286,60.60019707963809,88942.73907103825,115519.1256830601
Hudson Strait,1997,45.741003368515614,58.11542780148214,87193.78767123287,110782.53424657535
Hudson Strait,1998,40.35082865483943,51.74848416797665,76918.76712328767,98645.54794520549
Hudson Strait,1999,39.756245227936226,53.97529755221199,75785.34246575342,102890.4109589041
Hudson Strait,2000,42.80767893935322,56.596792976798355,81602.13797814208,107887.63661202186
Hudson Strait,2001,40.32886054345386,53.89175836514709,76876.8904109589,102731.16438356164
Hudson Strait,2002,43.55497147990119,56.30092072759937,83026.66438356164,107323.6301369863
Hudson Strait,2003,37.415919155625424,50.807096339546376,71324.09589041096,96851.02739726027
Hudson Strait,2004,41.05945355191257,55.09450864462958,78269.58333333333,105023.90710382514
Hudson Strait,2005,40.029506400179656,53.77677969907928,76306.24657534246,102511.98630136986
Hudson Strait,2006,35.19945025825287,47.73590837637548,67098.95205479451,90996.57534246576
Hudson Strait,2007,40.49756658432518,55.30114529530653,77198.48630136986,105417.80821917808
Hudson Strait,2008,44.861040938815734,55.86580668279136,85516.35928961748,106494.19398907103
Hudson Strait,2009,41.8708430271727,55.12777902537615,79816.29452054795,105087.32876712328
Hudson Strait,2010,34.09038041769594,45.004266786436105,64984.78767123288,85789.38356164383
Hudson Strait,2011,27.126895126880754,42.41095890410959,51710.643835616436,80845.8904109589
Hudson Strait,2012,38.1469282450954,52.873779449968644,72717.58196721312,100790.64207650273
Hudson Strait,2013,42.6020534471143,55.24545250392993,81210.16438356164,105311.64383561644
Hudson Strait,2014,44.29127329889962,55.89130922973276,84430.2397260274,106542.80821917808
Hudson Strait,2015,44.781420166180105,58.86638221423759,85364.58219178082,112214.04109589041
Hudson Strait,2016,42.78611842694616,55.353399623757056,81561.03825136612,105517.41803278688
Hudson Strait,2017,40.74715652369189,53.12822816079048,77674.26712328767,101275.68493150685
Hudson Strait,2018,43.42142375926342,58.53132719514934,82772.0890410959,111575.34246575342
Hudson Strait,2019,37.25150325623175,49.568380866831355,71010.67808219178,94489.72602739726
Hudson Strait,2020,36.096701603511605,50.974648392009314,68809.33743169399,97170.42349726777
Hudson Strait,2021,34.08383022681338,47.178082191780824,64972.30136986302,89933.21917808219
Hudson Strait,2022,38.13827981136313,52.5192005389625,72701.09589041096,100114.72602739726
Hudson Strait,2023,38.73845407590389,49.02582528632383,73845.17808219178,93455.47945205479
Hudson Strait,2024,34.65901281017648,46.669354116276985,66068.7431693989,88963.456284153
Hudson Strait,2025,30.256812036829103,45.16909948349427,57677.04794520548,86103.59589041096
