date,region,ice_coverage,total_water_pixel_count,valid_water_pixel_count,total_pixel_area_km2,total_water_area_km2,valid_water_area_km2,absolute_ice_area_km2,relative_ice_area_km2,absolute_coverage_percent_of_water,relative_coverage_percent_of_water
1996-12-11,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1156875.0,816365.0,81.00656455142231,57.16341356673961
1996-12-23,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,919375.0,782235.0,99.72881355932203,84.85261016949153
1996-12-23,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,96672.49999999999,100.0,94.31463414634145
1996-12-23,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,189325.0,100.0,88.83284457478005
1996-12-23,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,112459.99999999999,100.0,59.38481848184818
1996-12-23,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1425625.0,1181615.0,99.82494529540482,82.73890590809629
1996-12-29,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,896932.5000000001,99.79661016949153,97.29437288135594
1996-12-29,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,98822.49999999999,100.0,96.4121951219512
1996-12-29,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,198487.50000000003,100.0,93.13196480938419
1996-12-29,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,189375.0,148907.5,100.0,78.63102310231022
1996-12-29,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1426250.0,1344127.5000000002,99.86870897155362,94.11833698030637
1996-12-13,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,797500.0,497322.49999999994,86.50847457627118,53.946847457627115
1996-12-13,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,94392.50000000001,100.0,92.09024390243904
1996-12-13,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,173767.5,100.0,81.53313782991202
1996-12-13,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,142500.0,58245.00000000001,75.24752475247524,30.756435643564362
1996-12-13,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1256875.0,824282.5,88.00875273522976,57.71781181619255
1996-12-01,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,476250.0,286565.0,51.66101694915254,31.085016949152543
1996-12-01,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,97307.5,100.0,94.9341463414634
1996-12-01,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,177972.50000000003,100.0,83.50615835777127
1996-12-01,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,73750.0,26144.999999999996,38.943894389438945,13.805940594059404
1996-12-01,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,866875.0,588582.5,60.70021881838075,41.21365426695843
1996-12-09,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,654375.0,422017.50000000006,70.98305084745763,45.778169491525425
1996-12-09,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,97675.00000000001,100.0,95.29268292682929
1996-12-09,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,181045.00000000003,100.0,84.94780058651028
1996-12-09,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,110000.0,42312.49999999999,58.08580858085809,22.34323432343234
1996-12-09,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1081250.0,743715.0,75.71115973741794,52.0763238512035
1996-12-10,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,693125.0,455580.0,75.1864406779661,49.418847457627116
1996-12-10,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,94622.50000000001,100.0,92.31463414634148
1996-12-10,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,173762.5,100.0,81.5307917888563
1996-12-10,Hudson Strait,,303.0,303.0,189375.0,180206.42215591343,189375.0,100625.0,30829.999999999996,53.135313531353134,16.279867986798678
1996-12-10,Gesamtregion,,2285.0,2285.0,1428125.0,1330611.2353663843,1428125.0,1110625.0,755307.5,77.76805251641137,52.88805251641138
1996-12-24,Hudson Bay,,1475.0,1475.0,921875.0,843708.7275383349,921875.0,920000.0,812935.0,99.79661016949153,88.18277966101695
1996-12-24,Gulf of Boothia,,164.0,164.0,102500.0,96784.76420999649,102500.0,102500.0,97307.5,100.0,94.9341463414634
1996-12-24,Foxe Basin,,341.0,341.0,213125.0,209012.1625774843,213125.0,213125.0,193947.49999999997,100.0,91.00175953079177
